"Territorio","COD_INE","dif2191","Dist_capital","mas15percen","eros_mod_grave","Tasa_desempleo","b_ancha","subsidios_poblacion","Gastos_habit","ind_ambiental","ind_social","ind_economico","vulner"
"Monturque",14044,-0.00718685831622177,54.500045392,0.0133618505582076,27.673935618,21.2145914,0.61563228908747,0.0560831622279261,1075.656067416,"2","2","4","3"
"Moriles",14045,-0.00241870464928783,57.736429396,0.00557530482685739,26.542324247,23.2068966,0.342277032756931,0.06252799426767,936.820037665,"2","2","4","3"
"Nueva Carteya",14046,-0.0533607938588279,48.964071029,0.0507490636761514,72.233072918,20.3578168,0.23987702944048,0.0867190913068714,918.754030489,"3","1","4","4"
"Obejo",14047,0.233086419753086,38.983508959,0.342055399438263,23.016640108,29.4408322,0.765509014965343,0.0100823045333333,996.2652909,"3","4","2","3"
"Palenciana",14048,-0.0676691729323308,88.27182459,0.14600079460523,34.075878873,21.6312057,0.342277032756931,0.0476190476281613,1366.648112314,"3","2","4","4"
"Palma del R<ed>o",14049,0.0879005260640842,54.115024187,0.00955864863596059,8.714578594,24.4909214,0.0245762070835908,0.0432169615801052,1389.707463919,"1","2","4","2"
"Pedro Abad",14050,-0.0227920227920228,32.642598419,0.0231984571130863,35.33221396,26.3870757,0.342277032756931,0.0334164292450142,1105.580793091,"2","2","3","2"
"Pedroche",14051,-0.171696847753186,80.382654676,0.00147290847286136,0,25.9509994,0.342277032756931,0.0164878157880617,1284.80671504,"2","2","2","1"
"Pe<f1>arroyaNAPueblonuevo",14052,-0.183859916254282,73.485122912,0.0105996140778824,0.078050473,21.7691238,1,0.000309288161400837,1674.787769029,"1","3","1","1"
"Posadas",14053,0.0300164473684211,31.799315241,0.0743102374575364,10.257489651,24.075251,0.342277032756931,0.0332031250013706,898.99345256,"1","2","3","2"
"Pozoblanco",14054,0.0458731639076708,70.563409399,0.152491952138702,24.081528228,21.601349,0.342277032756931,0.00249669697715085,979.22338466,"3","2","1","1"
"Priego de C<f3>rdoba",14055,-0.00570760864680239,88.529279575,0.229556556293984,65.173167779,23.8666435,0.314616408456899,0.0287140652860546,868.101384327,"4","2","3","4"
"Puente Genil",14056,0.0592266603957402,61.818699445,0.0233367793136175,30.346279062,27.9349514,0.400036231174958,0.0208284341713979,944.996363152,"2","3","3","2"
"Rambla (La)",14057,0.0310046573519627,34.626494049,0.00601721281687387,40.044816997,16.7618617,0.23987702944048,0.0265801729886893,947.276666222,"2","1","3","1"
"Rute",14058,-0.0179969496695475,82.569595765,0.150752660137497,66.243124548,19.2242033,0.589119042270022,0.028300288086426,1151.686395124,"4","2","3","4"
"San Sebasti<e1>n de los Ballesteros",14059,-0.00965018094089264,30.592962236,0.00948807348698119,7.055050775,21.6627635,0.0245762070835908,0.0466425412303981,1480.687846535,"1","2","4","2"
"Santa Eufemia",14061,-0.444444444444444,95.244387929,0.0187593048905336,0.450327923,26.9230769,1,0.0177376171485944,0,"2","1","3","1"
"Santaella",14060,-0.284970722186077,40.78571979,0.00694640242258288,41.780036877,19.5852694,0.510154488205466,0.0684775536759922,1065.487290992,"2","1","4","3"
"Torrecampo",14062,-0.392156862745098,89.821963408,0.00552463563643271,0.08634833,21.9371728,0.0245762070835908,0.00727124183333333,2226.182625118,"2","1","2","1"
